Store,Climate,VSG,Product,Store_Group,Space,Sales,Scaled_Alpha_Sales,Scaled_Shift_Sales,Scaled_Beta_Sales,Scaled_BP_Sales,Units,Scaled_Alpha_Units,Scaled_Shift_Units,Scaled_Beta_Units,Scaled_BP_Units,Profit,Scaled_Alpha_Profit,Scaled_Shift_Profit,Scaled_Beta_Profit,Scaled_BP_Profit,Lower_Limit,Upper_Limit,Recommended_Space
1231,COLD,ST,KNIT TOPS,HOT & SH-NA,7.754399836,4440.62,9630.600189,2.578539455,8.4233,5.872104315,400,837.5400074,2.812015462,7.7269,5.792972481,2408.529,5160.603224,1.693432362,9.7287,5.838608555,5,14.75,7.754399836
1231,COLD,ST,SHORTS,HOT & SH-NA,0.601016531,399.99,868.6785877,0,0.979642923,0,21,41.40976049,0,0.876441682,0,190.073,434.1777666,0,1.037053191,0,0,1,0.601016531
1231,COLD,ST,SKIRTS,HOT & SH-NA,1.665201766,593.46,1048.89857,0,2.129376584,1.103833602,29,50.31147701,0,2.080963263,1.099711588,394.961,687.43087,0,2.089348368,0,0.75,4.25,1.665201766
1231,COLD,ST,SWEATERS,HOT & SH-NA,1.665201766,587.81,2309.504925,0.0977,4.828994751,1.271054308,29,117.9506208,0.0977,5.004914448,1.271054308,300.816,1233.30259,0.0977,5.046354626,1.271054308,0.75,4.25,1.665201766
1231,COLD,ST,WOVEN TOPS,HOT & SH-NA,2.135722353,2614.6,6474.098238,0,4.030022306,1.083042542,185,435.1010829,0,3.807130183,0.997354708,1422.53,3468.605738,0,3.962350905,1.122183326,1.25,5.5,2.135722353
1232,COLD,ST,CAREER LONG BTMS,COLD-Low,1.464319827,773.12,1192.050416,0.08310389,1.4823,1.172934664,33,53.65399808,0.078645766,1.5949,1.163814987,365.629,559.050316,0.0792,1.469760997,1.178448115,0.75,3.25,1.464319827
1232,COLD,ST,DENIM LONG BTMS,COLD-Low,0.441226313,277.1,354.6361455,0,0.35867281,0,13,16.70721548,0,0.361213912,0,104.294,104.294,0,0,0,0,3.25,0.441226313
1232,COLD,ST,DRESSES,COLD-Low,1.194068711,651.27,651.27,0,0,0,22,22,0,0.143996227,0,385.415,385.415,0,0,0,0.25,3.5,1.194068711
1232,COLD,ST,JACKETS,COLD-Low,0.347465722,218.94,336.2325904,0,0.370893322,0,6,10.92294795,0,0.460675722,0,112.468,146.068606,0,0.28948873,0,0,1.25,0.347465722
1232,COLD,ST,KNIT BOTTOMS,COLD-High,8.772130642,351.3,532.5024062,2.0889,7.008399848,8.363497518,26,47.13981091,2.7585,7.933518648,8.363497518,184.248,256.8932486,1.10454749,7.1387,7.6042456,5.25,11.25,8.772130642
1232,COLD,ST,KNIT TOPS,COLD-Low,8.772130642,1972.66,3701.274305,4.5792,5.764934127,7.368539214,171,351.5025435,4.9257,5.887053088,7.368539214,1136.624,1964.964012,4.6456,5.134245725,7.368539214,5.25,15.5,8.772130642
1232,COLD,ST,SKIRTS,COLD-Low,2.355045448,159.43,217.50554,0.029,2.095572144,1.818988632,7,9.603544248,0.0532,2.091584121,1.818988632,101.702,137.8980035,0,2.101706562,0,0.75,4.5,2.355045448
1232,COLD,ST,SWEATERS,COLD-Low,2.355045448,291.32,1071.330923,0.6943,4.776576782,1.76571967,15,56.92650993,0.6943,4.93551638,1.76571967,155.191,555.3587798,0.6943,4.642660409,1.76571967,0.75,4.5,2.355045448
1232,COLD,ST,WOVEN TOPS,COLD-Low,2.75214913,1162.79,2112.228258,0.9101,2.435749874,2.093252892,76,138.1657496,0.7918,2.594696101,2.093252892,629.65,1115.421656,0.8771,2.404506552,2.093252892,1.25,5.75,2.75214913
1233,COLD,ST,CAPRIS,HOT & SH-NA,1.333020622,755.15,1393.856097,0,1.797092319,0,34,69.80110469,0,2.03724181,0,368.184,642.1969501,0,1.676998639,0,0,3,1.333020622
1233,COLD,ST,CAREER LONG BTMS,HOT & SH-NA,3.257841221,2937.89,3774.481062,0,2.665624092,0,123,157.2852495,0,2.644536986,0,1449.539,1837.201636,0,2.604604148,0,1,4.75,3.257841221
1233,COLD,ST,DENIM LONG BTMS,HOT & SH-NA,3.516680176,1539.95,1681.517334,0,2.036442417,0,67,74.01940153,0,2.105239116,0,668.903,727.980871,0,2.016405034,0,0.25,5,3.516680176
1233,COLD,ST,DRESSES,HOT & SH-NA,1.095359399,1138.43,1549.590723,0,0.983381893,0,43,61.82233001,0,1.066645973,0,648.718,820.6116084,0,0.872779773,0,0.5,4.5,1.095359399
1233,COLD,ST,JACKETS,HOT & SH-NA,0.789458815,1516.43,1698.578585,0,0.490121099,0,51,57.851774,0,0.505619632,0,649.346,715.30927,0,0.468849847,0,0,2,0.789458815
1233,COLD,ST,KNIT BOTTOMS,HOT & SH-NA,12.18425557,551.3,763.0060057,1.737241456,9.6194,4.699538443,51,75.79499562,2.445358512,9.9386,4.965619294,237.243,295.623014,1.007220571,8.6727,4.368476802,8.25,18,12.18425557
1233,COLD,ST,KNIT TOPS,HOT & SH-NA,12.18425557,6425.4,8930.353872,3.0548,8.459470393,6.594164734,528,722.4703829,3.3394,8.004638337,6.594164734,3485.505,4960.675363,2.046136167,9.7287,6.369563705,8.25,20.25,12.18425557
1233,COLD,ST,SHORTS,HOT & SH-NA,0.442379306,91.84,657.9158888,0,2.515588173,0,5,29.90234648,0,2.095334287,0,40.599,337.2895952,0,2.921225395,0,0,1.25,0.442379306
1233,COLD,ST,SKIRTS,HOT & SH-NA,3.390790321,1007.76,1140.639764,0,2.160216262,1.022350508,47,52.91143772,0,2.131908684,1.066266338,670.375,754.962844,0,2.133807547,0,1.5,6,3.390790321
1233,COLD,ST,SWEATERS,HOT & SH-NA,3.390790321,1782.02,2662.232172,0.0977,3.385003528,1.271054308,89,135.4940836,0.0977,3.473834072,1.271054308,967.964,1452.967984,0.077297961,3.4284,1.239842996,1.5,6,3.390790321
1233,COLD,ST,WOVEN TOPS,HOT & SH-NA,3.600214567,3310.72,5931.707125,0.116317348,4.5301,1.448192774,215,386.507764,0.047442907,4.6387,1.419691802,1785.436,3148.712385,0.165955188,4.3797,1.536340865,2,8,3.600214567
1234,COLD,ST,CAPRIS,HOT & SH-NA,1.089413343,251.03,1027.034983,0,3.499640559,0,11,52.96838215,0,4.137731806,0,130.071,472.1603596,0,3.091190659,0,0,2,1.089413343
1234,COLD,ST,CAREER LONG BTMS,HOT & SH-NA,1.126527625,603.68,2722.01029,0,3.999943728,0,25,112.575624,0,3.994474888,0,293.401,1309.76992,0,3.959006857,0,0.5,3.25,1.126527625
1234,COLD,ST,DENIM LONG BTMS,HOT & SH-NA,0.825246981,307.45,1401.677768,0,2.963561336,0,13,60.1620001,0,3.009451088,0,133.651,618.4386961,0,3.009064053,0,0,3,0.825246981
1234,COLD,ST,DRESSES,HOT & SH-NA,0.910391511,611.05,1161.019667,0,1.270645787,0,23,47.41187203,0,1.397928385,0,345.546,588.2789912,0,1.111182504,0,0.25,3.25,0.910391511
1234,COLD,ST,JACKETS,HOT & SH-NA,0.270715941,319.49,1077.891463,0,0.711532041,0,10,36.35424733,0,0.769343747,0,136.864,443.8439197,0,0.682537973,0,0,1.25,0.270715941
1234,COLD,ST,KNIT BOTTOMS,HOT & SH-NA,7.983937065,24.18,401.3699333,2.9597,66.47914898,6.592202831,1,43.15833425,3.5943,151.1375211,6.592202831,16.059,133.910327,2.2398,38.07284456,6.592202831,5,11,7.983937065
1234,COLD,ST,KNIT TOPS,HOT & SH-NA,7.983937065,1976.58,7000.434838,3.0548,13.63136242,6.594164734,159,581.1578448,3.3394,13.27361987,6.594164734,1071.342,3746.333007,2.1747,15.85273226,6.594164734,5,15,7.983937065
1234,COLD,ST,SKIRTS,HOT & SH-NA,2.237772899,485.2,803.9503584,0.0058,2.6322786,1.271054308,21,35.71166284,0.0115,2.71346155,1.271054308,329.868,534.0552599,0,2.561539527,0,0.75,4.5,2.237772899
1234,COLD,ST,SWEATERS,HOT & SH-NA,2.237772899,748.8,2157.757148,0.0977,4.759568535,1.271054308,36,109.2503454,0.0977,5.029700488,1.271054308,393.79,1160.614634,0.0977,4.875557297,1.271054308,0.75,4.5,2.237772899
1234,COLD,ST,WOVEN TOPS,HOT & SH-NA,3.023722405,1084.23,4164.997112,0.2632,8.307907723,1.655653496,66,266.734394,0.2142,8.911710526,1.655653496,611.5,2227.110482,0.2487,7.901264573,1.655653496,1.25,5.75,3.023722405
1235,COLD,ST,CAPRIS,COLD-NA,0.365496173,238.85,442.1717404,0,0.494492038,0,9,18.92630781,0,0.574256955,0,135.459,228.1910439,0,0.440206913,0,0,2.75,0.365496173
1235,COLD,ST,CAREER LONG BTMS,COLD-Low,1.906343112,1090.38,1351.176672,0,1.464487944,0.929708915,48,61.52352483,0,1.553621577,0.903931603,509.02,627.8724963,0,1.452263232,0.965726189,1,4.5,1.906343112
1235,COLD,ST,DENIM LONG BTMS,COLD-Low,1.076772959,128.36,129.6292006,0,0.416849092,0,5,5.072170424,0,0.439241526,0,62.889,62.889,0,NA,0,0.25,4.25,1.076772959
1235,COLD,ST,DRESSES,COLD-Low,1.070706633,885.04,885.04,0,0,0,33,33,0,0,0,481.886,481.886,0,0,0,0.5,4.5,1.070706633
1235,COLD,ST,JACKETS,COLD-Low,0.527770408,422.98,459.8140881,0,0.301571272,0,15,16.83821234,0,0.329457237,0,144.315,151.9384356,0,0.269480526,0,0,1.75,0.527770408
1235,COLD,ST,KNIT BOTTOMS,COLD-High,11.6094324,418.51,506.9147657,2.0889,7.009627688,8.363497518,37,47.91374396,2.7585,7.338473883,8.363497518,185.676,222.3580613,1.3561,7.384180174,8.363497518,7.25,15.5,11.6094324
1235,COLD,ST,KNIT TOPS,COLD-High,11.6094324,5174.73,6686.905764,1.2836,8.531190136,9.097385832,486,592.4639824,0.4197,8.340036589,9.097385832,2649.449,3336.474158,0.897,8.469114054,9.097385832,7.25,20.25,11.6094324
1235,COLD,ST,SKIRTS,COLD-Low,3.547284439,324.81,336.7914948,0.029,1.673980621,1.818988632,17,17.48206645,0.0532,1.585854733,1.818988632,202.378,209.7861671,0,1.685369706,0,1.25,6,3.547284439
1235,COLD,ST,SWEATERS,COLD-High,3.547284439,1899.53,1899.530469,1.3977,0.416589477,2.686574115,104,104.0000685,1.3977,0.432238862,2.686574115,873.227,873.2270415,0.9672,0.472528134,2.686574115,1.25,6,3.547284439
1235,COLD,ST,WOVEN TOPS,COLD-Low,3.676193878,2168.97,2678.381484,0.691737997,2.2782,1.680151325,142,176.2916801,0.578163297,2.388,1.677744929,1211.275,1469.794548,0.603558566,2.2701,1.570094113,1.75,8,3.676193878
1236,COLD,ST,CAPRIS,HOT & SH-NA,1.138678842,1434.21,2181.257824,0,1.19953496,0,63,103.6811746,0,1.33127292,0,705.356,1032.968958,0,1.138316847,0,0,3,1.138678842
