Store,Climate,VSG,Category,Space,Sales,Units,Profit,Exit_Flag,Future_Space,Entry_Space,BOH $,BOH Units,CC Count w/ BOH,Profit %,Receipts  $,Receipts Units
1024,COLD,SM,SWIMWEAR,0,1582.21,155,671.66,0,7.5,2,0,0,24,0.424507493,4664,183
1025,SUPER HOT,ST,ADIDAS,1.5,419.08,32,198.62,0,8.5,2,988,43,12,0.473942923,0,0
1025,SUPER HOT,ST,CARTERS,0,7259.01,850,2236.21,0,8.5,2,2554,121,102,0.308059915,19818,951
1025,SUPER HOT,ST,CHAPS,0,91.51,9,3.5,0,8.5,2,410,14,11,0.038247186,0,0
1025,SUPER HOT,ST,HURLEY - HAWK,0.5,6969.42,477,3240.703,0,8.5,2,6032,196,110,0.464988909,18176,653
1025,SUPER HOT,ST,JUMPING BEANS,0,25439.36,4246,12751.558,0,8.5,2,11604,661,287,0.501253098,88316,5316
1025,SUPER HOT,ST,JUMPING BEANS ACTIVE,1,5699.18,683,3045.672,0,8.5,2,5836,249,90,0.5344053,14870,748
1025,SUPER HOT,ST,LEE DENIM,1,1015.37,71,466.87,0,8.5,2,256,8,14,0.45980283,2400,75
1025,SUPER HOT,ST,LEVI DENIM,1,2688.52,143,1232.4,0,8.5,2,2008,54,23,0.458393466,9100.8,248
1025,SUPER HOT,ST,LICENSED CHARACTER - JBD,0,17838.65,2026,8305.339,0,8.5,2,22994,979,391,0.46558114,48734,2664
1025,SUPER HOT,ST,NIKE,2,13746.42,772,8055.33,0,8.5,2,2516,102,142,0.585994754,32232,1257
1025,SUPER HOT,ST,OSHKOSH,0.5,6673.65,582,2116.65,0,8.5,2,4366,148,84,0.317165269,20464,752
1025,SUPER HOT,ST,OUTERWEAR,0,562,21,269.32,0,8.5,2,0,0,7,0.479217082,1320,24
1025,SUPER HOT,ST,SONOMA,0,14749.64,1731,7418.161,0,8.5,2,2552,126,167,0.502938445,49304,2362
1025,SUPER HOT,ST,SONOMA DENIM,1,4029.27,342,1482.866,0,8.5,2,5174,199,23,0.368023488,9828,378
1025,SUPER HOT,ST,SWIMWEAR,0,2974.84,296,1252.41,0,8.5,2,42,1,24,0.421000793,10098,396
1026,SUPER HOT,ST,ADIDAS,1.5,370.14,29,173.44,0,8.5,2,2236,97,17,0.468579456,0,0
1026,SUPER HOT,ST,CARTERS,0,9015.65,1038,2768.35,0,8.5,2,3440,157,107,0.3070605,21996,1047
1026,SUPER HOT,ST,CHAPS,0,168.72,12,86.34,0,8.5,2,530,19,17,0.51173542,0,0
1026,SUPER HOT,ST,HURLEY - HAWK,0.5,9407.24,641,4585.766,0,8.5,2,6902,226,111,0.48747199,22028,792
1026,SUPER HOT,ST,JUMPING BEANS,0,33835.76,5610,17296.533,0,8.5,2,19080,1106,290,0.511190912,104440,6333
1026,SUPER HOT,ST,JUMPING BEANS ACTIVE,1,4534.25,555,2277.359,0,8.5,2,7910,336,68,0.502257044,10062,514
1026,SUPER HOT,ST,LEE DENIM,1,2421.7,176,870.7,0,8.5,2,96,3,13,0.359540818,8288,277
1026,SUPER HOT,ST,LEVI DENIM,1,3740.38,188,1828.82,0,8.5,2,2614,71,22,0.488939626,11205.6,308
1026,SUPER HOT,ST,LICENSED CHARACTER - JBD,0,23243.69,2711,10790.183,0,8.5,2,24232,1044,392,0.464219881,64795,3530
1026,SUPER HOT,ST,NIKE,2,13435.94,819,7706.04,0,8.5,2,2732,113,153,0.573539328,42180,1681
1026,SUPER HOT,ST,OSHKOSH,0.5,7582.65,692,2073.72,0,8.5,2,5424,188,83,0.273482226,23878,859
1026,SUPER HOT,ST,OUTERWEAR,0,446,17,230.4,0,8.5,2,0,0,10,0.516591928,1320,24
1026,SUPER HOT,ST,SONOMA,0,19524.43,2238,10126.896,0,8.5,2,5828,291,167,0.518678189,58620,2817
1026,SUPER HOT,ST,SONOMA DENIM,1,6738.1,550,2667.21,0,8.5,2,4628,178,23,0.395840074,17290,665
1026,SUPER HOT,ST,SWIMWEAR,0,2267.15,233,912.7,0,8.5,2,0,0,29,0.402575921,7482,295
1027,HOT,SM,ADIDAS,1.5,1108.82,64,515.96,0,7.5,2,4706,153,23,0.465323497,1312,41
1027,HOT,SM,CARTERS,1,5293.43,630,1469.99,0,7.5,2,3172,148,99,0.277700848,15332,713
1027,HOT,SM,CHAPS,0,7851.21,640,1778.76,0,7.5,2,5527,189,91,0.226558709,35200,1145
1027,HOT,SM,HURLEY - HAWK,0.5,1712.62,125,739.33,0,7.5,2,0,0,52,0.431695297,8628,312
1027,HOT,SM,JUMPING BEANS,0,29606.86,4755,15033.358,0,7.5,2,11824,657,284,0.507766038,92264,5369
1027,HOT,SM,JUMPING BEANS ACTIVE,1,4874.53,544,2589.583,0,7.5,2,4666,185,96,0.531247731,14150,680
1027,HOT,SM,LEE DENIM,1,3674.26,245,1243.27,0,7.5,2,2212,79,18,0.338372897,8040,278
1027,HOT,SM,LEVI DENIM,1,5476.78,257,2551.01,0,7.5,2,3904,100,15,0.465786466,11458,295
1027,HOT,SM,LICENSED CHARACTER - JBD,0,10543.29,1160,4792.257,0,7.5,2,17238,677,319,0.45453146,32726,1806
1027,HOT,SM,NIKE,1,20504.72,1008,12105.58,0,7.5,2,6376,199,167,0.590380166,44808,1567
1027,HOT,SM,OSHKOSH,0.5,32.49,7,-5.96,0,7.5,2,26,1,9,-0.183441059,0,0
1027,HOT,SM,OUTERWEAR,0,1266.8,44,589.8,0,7.5,2,36,1,16,0.46558257,7380,86
1027,HOT,SM,SONOMA,0,11530.6,1359,5705.543,0,7.5,2,6120,306,170,0.494817529,36860,1732
1027,HOT,SM,SONOMA DENIM,0,5302.6,424,2103.95,0,7.5,2,3952,152,27,0.396777053,13676,526
1027,HOT,SM,SWIMWEAR,0,1105.09,101,509.74,0,7.5,2,0,0,23,0.461265598,3252,128
1028,SUPER HOT,LO,ADIDAS,1,311.79,19,166.69,0,8.5,2,2604,110,13,0.534622663,24,1
1028,SUPER HOT,LO,CARTERS,1,4170.42,491,1174.43,0,8.5,2,4144,192,108,0.281609526,11872,551
1028,SUPER HOT,LO,CHAPS,0,3218.67,240,811.16,0,8.5,2,4148,144,78,0.252017138,13212.6,431
1028,SUPER HOT,LO,HURLEY - HAWK,0.5,5619.27,385,2750.897,0,8.5,2,5658,187,106,0.489547041,15272,557
1028,SUPER HOT,LO,JUMPING BEANS,0,15460.66,2537,7800.668,0,8.5,2,10040,580,277,0.504549482,53460,3172
1028,SUPER HOT,LO,JUMPING BEANS ACTIVE,0.5,2758.17,321,1430.891,0,8.5,2,4864,212,92,0.518782744,8884,428
1028,SUPER HOT,LO,LEE DENIM,1,719.77,53,295.02,0,8.5,2,756,24,14,0.409880934,1536,48
1028,SUPER HOT,LO,LEVI DENIM,1,5203.85,240,2604.16,0,8.5,2,4620,122,25,0.50042949,9008.8,241
1028,SUPER HOT,LO,LICENSED CHARACTER - JBD,0,15628.58,1629,7473.946,0,8.5,2,22242,906,368,0.478222974,34488,1778
1028,SUPER HOT,LO,NIKE,2,7568.31,393,4399.57,0,8.5,2,4052,160,152,0.581314719,24732,917
1028,SUPER HOT,LO,OSHKOSH,0.5,-7.18,-1,0.32,0,8.5,2,-10,0,4,-0.044568245,0,0
