Store,Climate,VSG,Category,Space,Sales,Units,Profit,Exit_Flag,Future_Space,Entry_Space,BOH $,BOH Units,CC Count w/ BOH,Profit %,Receipts  $,Receipts Units
161,NONE,ST,CHILDRENS ATHLETIC,90.45454545,80212.5,80212.5,80212.5,0,500,0,0,0,0,0,0,0
162,NONE,ST,CHILDRENS ATHLETIC,99.74358974,93006.5,93006.5,93006.5,0,500,0,0,0,0,0,0,0
163,NONE,ST,CHILDRENS ATHLETIC,74.63541667,166143.5,166143.5,166143.5,0,500,0,0,0,0,0,0,0
165,NONE,ST,CHILDRENS ATHLETIC,70.19310345,59829.5,59829.5,59829.5,0,500,0,0,0,0,0,0,0
166,NONE,ST,CHILDRENS ATHLETIC,89.55,77873,77873,77873,0,500,0,0,0,0,0,0,0
167,NONE,ST,CHILDRENS ATHLETIC,95,98216,98216,98216,0,500,0,0,0,0,0,0,0
168,NONE,ST,CHILDRENS ATHLETIC,95.47979798,104637.5,104637.5,104637.5,0,500,0,0,0,0,0,0,0
169,NONE,ST,CHILDRENS ATHLETIC,75,45924,45924,45924,0,500,0,0,0,0,0,0,0
170,NONE,ST,CHILDRENS ATHLETIC,94.05,67655,67655,67655,0,500,0,0,0,0,0,0,0
171,NONE,ST,CHILDRENS ATHLETIC,95.9947644,82165.5,82165.5,82165.5,0,500,0,0,0,0,0,0,0
172,NONE,ST,CHILDRENS ATHLETIC,89.53608247,59615,59615,59615,0,500,0,0,0,0,0,0,0
173,NONE,ST,CHILDRENS ATHLETIC,89.09547739,53171,53171,53171,0,500,0,0,0,0,0,0,0
174,NONE,ST,CHILDRENS ATHLETIC,75.22727273,105507,105507,105507,0,500,0,0,0,0,0,0,0
175,NONE,ST,CHILDRENS ATHLETIC,100.7009346,118477,118477,118477,0,500,0,0,0,0,0,0,0
176,NONE,ST,CHILDRENS ATHLETIC,115.6361702,118467.5,118467.5,118467.5,0,500,0,0,0,0,0,0,0
177,NONE,ST,CHILDRENS ATHLETIC,110.7674419,87260.5,87260.5,87260.5,0,500,0,0,0,0,0,0,0
178,NONE,ST,CHILDRENS ATHLETIC,109.7555556,115488,115488,115488,0,500,0,0,0,0,0,0,0
179,NONE,ST,CHILDRENS ATHLETIC,95.5,122395,122395,122395,0,500,0,0,0,0,0,0,0
180,NONE,ST,CHILDRENS ATHLETIC,74.58588957,60439,60439,60439,0,500,0,0,0,0,0,0,0
182,NONE,ST,CHILDRENS ATHLETIC,94.525,66634.5,66634.5,66634.5,0,500,0,0,0,0,0,0,0
183,NONE,ST,CHILDRENS ATHLETIC,94.525,76144.5,76144.5,76144.5,0,500,0,0,0,0,0,0,0
184,NONE,ST,CHILDRENS ATHLETIC,99.5,91542.5,91542.5,91542.5,0,500,0,0,0,0,0,0,0
185,NONE,ST,CHILDRENS ATHLETIC,70.33561644,78478.5,78478.5,78478.5,0,500,0,0,0,0,0,0,0
186,NONE,ST,CHILDRENS ATHLETIC,65.13356164,65897.5,65897.5,65897.5,0,500,0,0,0,0,0,0,0
187,NONE,ST,CHILDRENS ATHLETIC,95.48469388,71186.5,71186.5,71186.5,0,500,0,0,0,0,0,0,0
188,NONE,ST,CHILDRENS ATHLETIC,95,109572,109572,109572,0,500,0,0,0,0,0,0,0
189,NONE,ST,CHILDRENS ATHLETIC,93.575,73542.5,73542.5,73542.5,0,500,0,0,0,0,0,0,0
190,NONE,ST,CHILDRENS ATHLETIC,89.1,71091.5,71091.5,71091.5,0,500,0,0,0,0,0,0,0
191,NONE,ST,CHILDRENS ATHLETIC,79.12138728,49302.5,49302.5,49302.5,0,500,0,0,0,0,0,0,0
192,NONE,ST,CHILDRENS ATHLETIC,95.55291005,69873.5,69873.5,69873.5,0,500,0,0,0,0,0,0,0
193,NONE,ST,CHILDRENS ATHLETIC,85.71578947,46787,46787,46787,0,500,0,0,0,0,0,0,0
195,NONE,ST,CHILDRENS ATHLETIC,89.109375,76458.5,76458.5,76458.5,0,500,0,0,0,0,0,0,0
196,NONE,ST,CHILDRENS ATHLETIC,90.45918367,62378.5,62378.5,62378.5,0,500,0,0,0,0,0,0,0
197,NONE,ST,CHILDRENS ATHLETIC,104.5757576,118097.5,118097.5,118097.5,0,500,0,0,0,0,0,0,0
198,NONE,ST,CHILDRENS ATHLETIC,100,69355.5,69355.5,69355.5,0,500,0,0,0,0,0,0,0
200,NONE,ST,CHILDRENS ATHLETIC,90.45918367,60357.5,60357.5,60357.5,0,500,0,0,0,0,0,0,0
201,NONE,ST,CHILDRENS ATHLETIC,75.37037037,119621,119621,119621,0,500,0,0,0,0,0,0,0
202,NONE,ST,CHILDRENS ATHLETIC,95.1928934,142483,142483,142483,0,500,0,0,0,0,0,0,0
204,NONE,ST,CHILDRENS ATHLETIC,79.04191617,123378.5,123378.5,123378.5,0,500,0,0,0,0,0,0,0
205,NONE,ST,CHILDRENS ATHLETIC,98.91752577,114533.5,114533.5,114533.5,0,500,0,0,0,0,0,0,0
206,NONE,ST,CHILDRENS ATHLETIC,69.54545455,136101.5,136101.5,136101.5,0,500,0,0,0,0,0,0,0
207,NONE,ST,CHILDRENS ATHLETIC,70.8525641,126455,126455,126455,0,500,0,0,0,0,0,0,0
208,NONE,ST,CHILDRENS ATHLETIC,89.64,132961.5,132961.5,132961.5,0,500,0,0,0,0,0,0,0
209,NONE,ST,CHILDRENS ATHLETIC,79.31707317,153137,153137,153137,0,500,0,0,0,0,0,0,0
210,NONE,ST,CHILDRENS ATHLETIC,99.4,96898.5,96898.5,96898.5,0,500,0,0,0,0,0,0,0
